complaint_text,issue_type
Many street lights off on Birch Avenue road,streetlight
Sewage water stagnating on Birch Avenue road,sewage
Sewage water stagnating on Elm Street road,sewage
Overflowing garbage bins at Oak Street need cleaning,garbage
Water leakage near Main Street has damaged the street,water_leakage
There is a large pothole on Birch Avenue causing danger,pothole
There is a major water pipe leak on Oak Street,water_leakage
Loud noise from construction site at MG Road is disturbing,noise
Please control noise at 5th Avenue during nights,noise
Many street lights off on Elm Street road,streetlight
Loud noise from construction site at Maple Avenue is disturbing,noise
There is a large pothole on Main Street causing danger,pothole
Water is leaking from the pipe near Park Lane,water_leakage
Water is leaking from the pipe near Maple Avenue,water_leakage
Urgent repair needed for traffic lights at Maple Avenue,traffic_signal
The park near Main Street is full of broken benches and trash,park_maintenance
Please clean garbage from Pine Road street,garbage
Urgent repair needed for traffic lights at Birch Avenue,traffic_signal
Many street lights off on Maple Avenue road,streetlight
Garbage is not collected for weeks in Oak Street,garbage
Constant water leakage on Oak Street is wasting water,water_leakage
Traffic signals are malfunctioning at Oak Street intersection,traffic_signal
Garbage is not collected for weeks in Cedar Street,garbage
Water leakage near MG Road has damaged the street,water_leakage
Public toilet near Pine Road is dirty and unusable,sanitation
Fix water leakage issue on Birch Avenue immediately,water_leakage
Road is cracked and unsafe on Oak Street,road_damage
There is a large pothole on 5th Avenue causing danger,pothole
Sanitation facilities at Cedar Street need improvement,sanitation
Many potholes along Cedar Street street making it unsafe,pothole
Dark street due to faulty streetlights on Park Lane,streetlight
There is a large pothole on Elm Street causing danger,pothole
Sanitation facilities at Maple Avenue need improvement,sanitation
Sanitation problem near Park Lane market,sanitation
Poor lighting on Birch Avenue at night is dangerous,streetlight
Sewage water is leaking on MG Road street,sewage
Children cannot play at Cedar Street park due to trash,park_maintenance
Road is cracked and unsafe on 5th Avenue,road_damage
Sanitation facilities at 5th Avenue need improvement,sanitation
Loud noise from construction site at Pine Road is disturbing,noise
Clean the park area near 5th Avenue,park_maintenance
Repair the damaged road near Oak Street,road_damage
There is a large pothole on Oak Street causing danger,pothole
Dangerous pothole on Main Street road is causing accidents,pothole
Water leakage near Oak Street has damaged the street,water_leakage
The park near Oak Street is full of broken benches and trash,park_maintenance
The park near Birch Avenue is full of broken benches and trash,park_maintenance
Public toilet near Elm Street is dirty and unusable,sanitation
Traffic signals are malfunctioning at Birch Avenue intersection,traffic_signal
Open sewage on Main Street is a health hazard,sewage
